id,平均视频更新时间,UP主所在分区,视频平均时长,视频总数,视频平均点赞数,视频平均硬币数,视频平均转发数,视频平均弹幕数,视频平均收藏数,视频平均播放量,视频平均评论数,视频推荐指数,点赞/播放量超过4%的视频数,粉丝数
246370149,23.232558139534884,游戏,1865.6046511627908,43,104971.97674418605,59875.67441860465,3921.860465116279,6540.488372093023,30900.488372093023,1717266.3488372094,2180.3720930232557,510367.2546511627,40,1585100
532741557,4.843971631205674,知识,803.5957446808511,141,23334.304964539006,7670.13475177305,2525.808510638298,1338.6382978723404,5333.645390070922,338838.78723404254,803.0141843971631,101083.71241134751,133,4221234
99157282,4.701438848920863,美食,827.4388489208633,278,255053.6582733813,149790.9712230216,16451.586330935253,20108.676258992808,33228.27338129497,3425968.2302158275,4820.845323741008,1048241.1517985611,268,7894211
17409016,12.542372881355933,美食,229.135593220339,59,102892.27118644067,59270.91525423729,6206.627118644068,7160.3050847457625,27795.762711864405,1850144.8983050848,6246.372881355932,544826.875423729,42,3064071
414350632,17.155172413793103,影视,1100.448275862069,58,63295.18965517241,49037.93103448276,3024.9827586206898,6298.827586206897,12352.775862068966,1089748.8448275863,1873.7586206896551,326160.31637931045,56,1231234
542246263,3.6266666666666665,时尚,93.74666666666667,75,66990.05333333333,1143.4,918.16,131.49333333333334,6532.7733333333335,626640.08,360.56,186620.9506666666,70,484893
359516438,1.505521472392638,知识,2844.60245398773,815,551.9165644171779,52.47852760736196,110.86134969325154,14.104294478527608,521.0355828220859,15389.364417177914,19.316564417177915,4325.294969325153,376,2859575
472747194,115.36363636363636,知识,3088.3636363636365,11,70484.18181818182,52536.63636363636,12166.272727272728,13134.454545454546,26858.909090909092,1287768.4545454546,3606.2727272727275,393204.16818181815,6,2839690
386165680,6.853658536585366,美食,454.1829268292683,164,21791.189024390245,6656.615853658536,1168.128048780488,1591.7621951219512,5254.25,267418.3353658537,633.8475609756098,81401.10152439021,161,1553758
454143774,4.036144578313253,生活,291.48192771084337,166,60556.92168674699,23961.150602409638,2338.4638554216867,4037.3614457831327,3888.8072289156626,925803.9397590362,1899.5361445783133,270202.6933734941,161,1411597
1420982,11.06060606060606,美食,400.3030303030303,132,214275.62878787878,88934.25,4159.25,9511.681818181818,25878.310606060608,2967560.5606060605,2399.2045454545455,878197.4893939395,112,4564140
203708804,8.530303030303031,生活,608.0757575757576,132,40209.068181818184,8433.848484848484,1284.1969696969697,4618.083333333333,2681.651515151515,672839.7348484849,1177.6439393939395,191560.40492424244,119,1265932
1022762448,18.0,生活,67.875,16,114551.0625,13147.0,635.125,342.6875,12242.6875,698709.0,656.875,230210.18125000002,13,262425
36593637,2.926470588235294,游戏,1190.25,204,5486.009803921569,1073.8578431372548,49.1764705882353,459.5833333333333,950.7892156862745,88962.2205882353,101.34313725490196,25403.615441176466,183,170020
3433092,16.95294117647059,生活,811.6117647058824,85,109177.21176470588,80640.3294117647,9747.30588235294,9012.835294117647,26862.164705882355,1254405.0,2490.6941176470586,408036.71117647045,82,1908420
2041168605,7.868421052631579,生活,98.71052631578948,38,384082.2105263158,52749.18421052631,5619.289473684211,1143.421052631579,40129.18421052631,2737696.5789473685,1780.3157894736842,875736.5263157893,38,1862974
4962263,2.76,时尚,21.04,50,34801.96,867.54,1076.52,67.1,3944.2,196609.8,279.28,65387.974000000024,50,237102
176037767,6.016949152542373,生活,355.3686440677966,236,149960.05508474575,37304.16949152543,7559.762711864407,19887.95338983051,9764.983050847457,2840220.309322034,7328.970338983051,803312.8891949145,134,6722867
472729452,365.0,游戏,38.0,1,4446.0,923.0,816.0,159.0,452.0,183800.0,1219.0,49274.0,0,215947
339233162,6.1015625,知识,1286.1640625,128,28417.9296875,6653.8671875,1342.4765625,5553.484375,3382.71875,703262.078125,1316.3046875,194412.45546874995,82,2276960
65395325,1.8,生活,179.5,10,771.3,96.8,17.4,97.8,211.9,18137.2,112.0,5039.469999999999,7,22380
43310262,14.188311688311689,游戏,461.74675324675326,154,5487.064935064935,513.474025974026,262.07142857142856,305.6168831168831,1392.064935064935,136707.01298701297,555.2987012987013,37496.197402597376,86,2808481
1894959229,5.5,生活,38.0,4,790.0,68.25,34.0,28.25,445.0,18358.5,27.5,5109.125,3,20548
69112541,7.6923076923076925,游戏,397.90384615384613,104,62170.92307692308,14092.961538461539,3280.673076923077,1433.9711538461538,5580.028846153846,973767.5480769231,929.4711538461538,278535.23028846155,104,1131089
398510,34.108108108108105,鬼畜,172.40540540540542,37,158533.32432432432,90186.56756756757,24004.324324324323,4960.459459459459,45681.7027027027,2099504.864864865,5768.972972972973,656763.0513513512,37,1894381
3493080560830654,1.6568627450980393,美食,364.47058823529414,102,34617.10784313725,3143.5588235294117,2823.6666666666665,1884.3039215686274,2948.401960784314,873519.274509804,1326.4411764705883,237347.1039215686,53,1648106
349888821,12.492307692307692,时尚,395.4,65,45295.93846153846,8825.907692307692,2662.4307692307693,583.7538461538461,6585.507692307692,574590.0923076923,803.3076923076923,169424.19692307687,65,1081422
249115678,10.296875,游戏,501.546875,64,42767.203125,5114.296875,2667.5625,1677.125,10066.453125,1213999.640625,929.8125,328315.75859375,25,1326050
4029133,4.073170731707317,生活,620.5951219512195,205,37192.07804878049,5170.165853658536,1703.1170731707316,2725.512195121951,4689.351219512195,746155.4487804878,990.009756097561,207398.64414634134,145,2426771
26032219,5.39,游戏,295.525,200,139236.81,24926.95,938.535,3646.815,34582.105,2247321.835,940.94,640268.8172499998,185,2490180
29524014,1.569767441860465,生活,409.0,86,19868.63953488372,207.54651162790697,311.4651162790698,109.53488372093024,1476.5116279069769,119011.54651162791,208.98837209302326,38540.60290697673,86,108425
380096134,3.993197278911565,美食,117.78231292517007,294,4617.693877551021,561.9387755102041,407.33673469387753,48.585034013605444,3833.3469387755104,101822.32653061225,89.48299319727892,28977.06802721091,231,1083057
85318798,11.698412698412698,音乐,250.5873015873016,63,25335.0,10660.42857142857,1559.6825396825398,539.5396825396825,5930.619047619048,279847.4603174603,664.4603174603175,87556.63174603172,56,1326186
39922227,6.841025641025641,时尚,585.5487179487179,195,47417.58974358974,14506.292307692307,2773.7179487179487,9813.65641025641,10876.969230769231,584382.1435897436,1701.6307692307691,180398.5251282052,190,1515501
43703740,2.5657894736842106,生活,236.94736842105263,76,57321.43421052631,10055.552631578947,582.6447368421053,575.5921052631579,4791.789473684211,741908.7894736842,565.3157894736842,214671.47894736842,73,817266
324879,4.621505376344086,知识,1229.3677419354838,465,9139.45806451613,2750.6301075268816,386.18064516129033,1941.3505376344085,1964.3935483870969,238180.223655914,859.9978494623656,66242.65698924728,181,1131344
83970403,9.7,知识,769.9333333333333,30,12686.833333333334,1019.5333333333333,229.56666666666666,716.9333333333333,2978.6,188464.06666666668,426.8666666666667,54087.40333333333,27,107751
239688446,1.3888888888888888,知识,236.5,108,5841.074074074074,1575.9907407407406,680.8148148148148,150.25,3636.4166666666665,99168.98148148147,359.93518518518516,29462.559259259273,107,668260
693164256,11.304347826086957,游戏,38.08695652173913,23,1302.0,250.7826086956522,16.869565217391305,129.43478260869566,574.2608695652174,15255.130434782608,122.69565217391305,4718.147826086956,14,29835
448039667,4.605691056910569,动画,219.3780487804878,246,60000.82113821138,14048.08943089431,2781.560975609756,1806.7886178861788,5576.5609756097565,1300220.1666666667,844.150406504065,359076.88638211397,208,1822591
483162496,3.926829268292683,知识,1511.5121951219512,205,28491.663414634146,11022.643902439024,2804.0439024390244,3558.990243902439,16428.60487804878,469147.9268292683,659.9756097560976,141391.29878048776,183,7755325
81824112,10.794117647058824,生活,812.2156862745098,102,189714.75490196078,137333.75490196078,20669.71568627451,16319.078431372549,30949.803921568626,2566627.254901961,3920.049019607843,802258.6392156859,98,3406026
235555226,4.261780104712042,娱乐,683.8010471204188,191,29225.659685863873,6582.052356020942,814.565445026178,3045.251308900524,5033.738219895288,659358.9633507853,841.0471204188482,182716.20575916232,113,1893257
22277354,365.0,生活,50.0,1,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.25,0,9
13826185,5.6084905660377355,时尚,355.07547169811323,212,11918.877358490567,2713.556603773585,1204.8537735849056,1256.2877358490566,4061.240566037736,192660.25,458.79245283018867,56645.352594339616,198,1151157
358247498,8.128205128205128,科技,485.3333333333333,39,5119.923076923077,1293.6410256410256,312.0769230769231,1084.871794871795,1022.0512820512821,164484.12820512822,789.9230769230769,44930.23717948718,7,178030
263090405,3.781115879828326,动物圈,124.65665236051503,233,141654.88841201717,17777.463519313304,1614.871244635193,1059.2274678111587,6656.957081545064,1384661.4291845493,1006.8454935622318,413730.73712446337,233,1694959
8530565,365.0,生活,128.0,1,1.0,0.0,0.0,0.0,0.0,103.0,1.0,26.549999999999997,0,5
11742550,3.4780701754385963,动画,305.7280701754386,228,95828.15350877192,41027.978070175435,7388.482456140351,3261.1929824561403,44323.32456140351,914309.7719298246,1492.469298245614,302951.44736842124,206,2162874
22770727,34.785714285714285,鬼畜,328.57142857142856,28,183324.25,74605.96428571429,14368.0,7001.821428571428,47644.42857142857,2790245.4285714286,2239.1071428571427,827343.9428571429,27,1669399
255181697,365.0,生活,57.0,1,6.0,2.0,1.0,0.0,0.0,16.0,0.0,7.8,1,10
37754047,6.923076923076923,音乐,228.60256410256412,78,75986.2564102564,34083.846153846156,6888.371794871795,2440.371794871795,19286.52564102564,1432790.0128205128,2210.769230769231,414004.9814102563,63,2504445
174929383,1.2195121951219512,游戏,6854.536585365854,41,60.390243902439025,5.414634146341464,4.146341463414634,20.048780487804876,13.24390243902439,2755.512195121951,8.804878048780488,733.2024390243904,0,1284
393166851,19.233333333333334,美食,438.95,60,184503.8,68010.65,4134.7,11783.283333333333,28903.15,2748881.9166666665,2478.15,805082.5975000001,54,3401838
142371069,3.6130268199233715,生活,202.64750957854406,261,10665.60153256705,464.81609195402297,1353.1954022988505,328.30651340996167,2041.8352490421455,282465.9195402299,299.97701149425285,76744.42816091956,129,1507311
